
Reading uwg file input.

Simulating new temperature and humidity values for 31 days from 12/1.

New climate file 'SGP_Singapore.486980_IWEC_UWG.epw' is generated at /home/gao/Documents/urbanWeatherGen/resources/epw_uwg.
         6968835 function calls (6968754 primitive calls) in 7.226 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       31    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:198(_deepcopy_atomic)
       32    0.000    0.000    0.000    0.000 UWG/element.py:47(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       32    0.000    0.000    0.000    0.000 UWG/element.py:48(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 UWG/UWG.py:492(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:764(setFormatter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:391(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:969(__init__)
       10    0.000    0.000    0.000    0.000 UWG/UWG.py:493(<lambda>)
        1    0.000    0.000    0.000    0.000 {issubclass}



